{{-5.071707110628717*^6, {theta -> 0.9730456078531113, t1 -> 0.2705495055490167, t2 -> 0.5640390197937464, yy -> 0.15254639856051855, xx -> 0.32731524141045537}}}
{{-5.066178395457121*^6, {theta -> 0.9332201882494433, t1 -> 0.35830449115474616, t2 -> 0.5411235803876648, yy -> 0.1466932526360336, xx -> 0.34445255525366736}}}
{{-5.065108888888912*^6, {theta -> 0.9414870898328147, t1 -> 0.2504934491326153, t2 -> 0.5930262008462357, yy -> 0.1452053999505616, xx -> 0.26031890331036955}}}
{{-5.073167290159546*^6, {theta -> 0.9127035141947352, t1 -> 0.338836118964714, t2 -> 0.6140654877358643, yy -> 0.1351036799459946, xx -> 0.3292204799159745}}}
{{-5.06695602206552*^6, {theta -> 0.9078001145106228, t1 -> 0.34298362938790544, t2 -> 0.6047641327267699, yy -> 0.1, xx -> 0.329581027356796}}}
{{-5.067293303776298*^6, {theta -> 0.9028330473777606, t1 -> 0.35307149583862574, t2 -> 0.6107429424901607, yy -> 0.11739598234646986, xx -> 0.32320125116935355}}}
{{-5.070314453731192*^6, {theta -> 0.9103970455344438, t1 -> 0.33993219873818437, t2 -> 0.6068881022528985, yy -> 0.12529429566338332, xx -> 0.31671064432369983}}}
{{-5.068946718936492*^6, {theta -> 0.9093282905749247, t1 -> 0.34418922008646247, t2 -> 0.6046329175953573, yy -> 0.12871140779928064, xx -> 0.3278520212013376}}}
{{-5.068163700086605*^6, {theta -> 0.9154660996444606, t1 -> 0.3750270988776483, t2 -> 0.5620468455309193, yy -> 0.10091411477746964, xx -> 0.3454790931317896}}}
{{-5.065157849685082*^6, {theta -> 0.9108548756110888, t1 -> 0.35691884010645947, t2 -> 0.581493412037973, yy -> 0.1100180016197417, xx -> 0.32628389365881205}}}
{{-5.065974319707742*^6, {theta -> 0.9027960876841712, t1 -> 0.35224421084779034, t2 -> 0.6103403084817238, yy -> 0.1300528604789262, xx -> 0.3267084019186314}}}
{{-5.066768788501146*^6, {theta -> 0.8981524790578863, t1 -> 0.35732666487994513, t2 -> 0.6150713129847635, yy -> 0.1113442093295629, xx -> 0.31875984723668715}}}
{{-5.067552990445394*^6, {theta -> 0.9727413629579833, t1 -> 0.1972700674564537, t2 -> 0.6277183888675089, yy -> 0.2610915226839958, xx -> 0.2864066155385654}}}
{{-5.061791453819271*^6, {theta -> 0.8831053289783166, t1 -> 0.37123720042367025, t2 -> 0.6144758257434997, yy -> 0.11800225635186441, xx -> 0.29631934276912514}}}
{{-5.070136321906141*^6, {theta -> 0.9071981585184479, t1 -> 0.36713186138104115, t2 -> 0.5919886351368792, yy -> 0.11943993864991638, xx -> 0.3343195943810361}}}
{{-5.070571626710434*^6, {theta -> 0.9091605924602968, t1 -> 0.338529330538903, t2 -> 0.614967012987167, yy -> 0.11838247336628538, xx -> 0.32501404535473666}}}
