{-4.325416848358354*^6, {theta -> 0.9651968808737421, t1 -> 0.18499846009191562, t2 -> 0.7843753637163864, aa -> 0.4429652353066617, yy -> 0.24563845997420056, xx -> 2.04583936298176}}
{-4.336361513699733*^6, {theta -> 0.9865680679202926, t1 -> 0.18696755755646677, t2 -> 0.7669748304152482, aa -> 0.40407837034774335, yy -> 0.25057310761745777, xx -> 2.000066903828987}}
{-4.320297248513587*^6, {theta -> 0.9335904715856074, t1 -> 0.17857633753048585, t2 -> 0.8957168995511743, aa -> 0.542878692142512, yy -> 0.23943907727039793, xx -> 2.0033720305052025}}
{-4.329138051708677*^6, {theta -> 0.9688420196413869, t1 -> 0.18407621388768602, t2 -> 0.7898839837151863, aa -> 0.41233439555689744, yy -> 0.2410782756213982, xx -> 2.000274712074021}}
{-4.335185425678874*^6, {theta -> 1.252519796495303, t1 -> 0.04231781706200362, t2 -> 0.5988915369183605, aa -> 0.3872140806703748, yy -> 0.39153597068392054, xx -> 4.873953986908565}}
{-4.321100526458988*^6, {theta -> 0.913097833014325, t1 -> 0.17482563709171708, t2 -> 0.9196012507436035, aa -> 0.5183937011108688, yy -> 0.22612658184443218, xx -> 2.073111439065435}}
{-4.340852993304461*^6, {theta -> 0.8767253257600446, t1 -> 0.11898999151561013, t2 -> 1.1089004654757846, aa -> 0.38892998232861387, yy -> 0.24837840961092073, xx -> 2.8529332457553735}}
{-4.330818637742061*^6, {theta -> 0.8002086359332028, t1 -> 0.14139338478169736, t2 -> 1.3009143969337447, aa -> 0.4710684065742816, yy -> 0.2219498544445284, xx -> 2.2380563463813714}}
{-4.334989547659233*^6, {theta -> 0.9191177479198502, t1 -> 0.10024517461966165, t2 -> 1.0025798171994857, aa -> 0.41864973328631117, yy -> 0.237327928652708, xx -> 3.4239027416923915}}
{-4.3413026825089175*^6, {theta -> 0.8301860809626127, t1 -> 0.1297064024634094, t2 -> 1.1915092329319623, aa -> 0.45188821185468897, yy -> 0.21612866274528467, xx -> 2.445159212790668}}
{-4.324535158169715*^6, {theta -> 0.8037565801136973, t1 -> 0.15865420132639288, t2 -> 1.2702673735234207, aa -> 0.5216959975927119, yy -> 0.22784849781109967, xx -> 2.1823422707603135}}
{-4.316667386542614*^6, {theta -> 0.8608932847755698, t1 -> 0.17024370000494723, t2 -> 1.0404066591345569, aa -> 0.512525605621379, yy -> 0.21611018890806657, xx -> 2.001034679425306}}
{-4.326561017333701*^6, {theta -> 0.8197740299750311, t1 -> 0.1623862025757825, t2 -> 1.2012077970175716, aa -> 0.4319192015073886, yy -> 0.23192375804931842, xx -> 2.0552569574610695}}
{-4.304366080572335*^6, {theta -> 0.8, t1 -> 0.15764476218263004, t2 -> 1.3024423158436722, aa -> 0.5952794741805232, yy -> 0.22786330525163823, xx -> 2.4279328117920818}}
{-4.328151728511086*^6, {theta -> 0.8, t1 -> 0.15998318099101888, t2 -> 1.300457182521591, aa -> 0.5155792813020869, yy -> 0.22597269835609712, xx -> 2.0166849003187384}}
{-4.323237856705406*^6, {theta -> 0.8130302282107381, t1 -> 0.14921038760148275, t2 -> 1.251697978188583, aa -> 0.5244163380401505, yy -> 0.22794291271638822, xx -> 2.29952728569653}}
{-4.33013364490949*^6, {theta -> 0.8025199481189083, t1 -> 0.1645082777168507, t2 -> 1.2787170440474904, aa -> 0.4791395135740635, yy -> 0.22702445046678676, xx -> 2.0126173053315353}}
{-4.328066818781579*^6, {theta -> 0.8020671419118243, t1 -> 0.13487404862449873, t2 -> 1.3360506221703883, aa -> 0.5215527147870949, yy -> 0.22661512225799973, xx -> 2.3908523409299742}}
{-4.320718110606015*^6, {theta -> 0.8707421984078131, t1 -> 0.15852708242049904, t2 -> 1.0752588871867959, aa -> 0.5510575843931825, yy -> 0.22799442945781778, xx -> 2.1194892764124145}}
