{{-3.4244979521573866*^6, {theta -> 0.7102589835847152, t1 -> 0.31078732712496215, t2 -> 0.7961566850360435, yy -> 0.6623389711845886, xx -> 2.1749917128949177}}}
{{-3.41920116139601*^6, {theta -> 0.7108753609334925, t1 -> 0.281565322820059, t2 -> 0.8303753724669511, yy -> 0.6546007706231107, xx -> 2.4167667564528155}}}
{{-3.423242575443645*^6, {theta -> 0.6593071217508877, t1 -> 0.31906606322907893, t2 -> 0.869278575162347, yy -> 0.605641675264302, xx -> 2.026537713345676}}}
{{-3.420952728386377*^6, {theta -> 0.7095971576197233, t1 -> 0.27893496964919323, t2 -> 0.8350451772847701, yy -> 0.6538112508798966, xx -> 2.449457872257442}}}
{{-3.4156418212641287*^6, {theta -> 0.7114672075316801, t1 -> 0.2868278683507306, t2 -> 0.8162942803466829, yy -> 0.6618861047332966, xx -> 2.35203700368902}}}
{{-3.4263995302746035*^6, {theta -> 0.6452227972384558, t1 -> 0.3155903686801762, t2 -> 0.8871127814898887, yy -> 0.5891095164993023, xx -> 2.1695653470995317}}}
{{-3.4315152165626413*^6, {theta -> 0.671727943762339, t1 -> 0.3253805511700746, t2 -> 0.8209120008184634, yy -> 0.6041835152029842, xx -> 2.133942121344895}}}
{{-3.425319098064523*^6, {theta -> 0.6468951102697469, t1 -> 0.31056885449729194, t2 -> 0.9045919593229029, yy -> 0.5919274847561392, xx -> 2.15874221417642}}}
{{-3.4159894984895186*^6, {theta -> 0.7213902870018949, t1 -> 0.2779582206734107, t2 -> 0.8147197909665609, yy -> 0.6692862600292904, xx -> 2.4586317316504536}}}
{{-3.422934635177171*^6, {theta -> 0.7112540978649914, t1 -> 0.29195152332677643, t2 -> 0.8254759652987278, yy -> 0.6571516731039655, xx -> 2.294998806845024}}}
{{-3.4296967538034744*^6, {theta -> 0.6448480582692215, t1 -> 0.322694540374201, t2 -> 0.8869135818611673, yy -> 0.5886720437510393, xx -> 2.0826440894949485}}}
{{-3.4261194286767235*^6, {theta -> 0.645418500372382, t1 -> 0.31291395343932993, t2 -> 0.897416630518714, yy -> 0.5885782978014567, xx -> 2.125678611204077}}}
{{-3.432001731077836*^6, {theta -> 0.7108800375998447, t1 -> 0.29880440637114547, t2 -> 0.8037155439322327, yy -> 0.653266053253464, xx -> 2.1594962034320373}}}
