{-1.2740195095846679*^6, {theta -> 1.2721532220067557, t1 -> 0.1041779571563374, t2 -> 0.11399519803084854, adm -> 0.1563215679717975, aa -> 0.07577449957505962, yy -> 6.676069356763733, xx -> 13.037791227173091}}
{-1.2799706399059528*^6, {theta -> 1.2812975426159658, t1 -> 0.0981936492154934, t2 -> 0.1143677941663326, adm -> 0.15866656045007557, aa -> 0.116114504782695, yy -> 6.785958047963096, xx -> 13.65337133433411}}
{-1.275806330105187*^6, {theta -> 1.2780932177428463, t1 -> 0.09443044085302028, t2 -> 0.11110746829221219, adm -> 0.16384999627369348, aa -> 0.11265043176070276, yy -> 6.815905964318892, xx -> 13.705565688868072}}
{-1.2810471557410848*^6, {theta -> 1.2888024543655856, t1 -> 0.11293952950034042, t2 -> 0.1053384319109362, adm -> 0.14701994873249163, aa -> 0.09142179110551452, yy -> 6.840063709573762, xx -> 13.732946690666722}}
{-1.277697026145162*^6, {theta -> 1.2848238523912543, t1 -> 0.09675641962323157, t2 -> 0.11749269425390536, adm -> 0.16055829140807532, aa -> 0.0824557653780836, yy -> 6.615881176427116, xx -> 13.629149189359431}}
{-1.2756299687456312*^6, {theta -> 1.3020241900861784, t1 -> 0.1010980963761674, t2 -> 0.11180691743706955, adm -> 0.1380055655112053, aa -> 0.09462092404428513, yy -> 6.990109440027945, xx -> 13.75099288016385}}
{-1.2755610616832091*^6, {theta -> 1.2979866633828725, t1 -> 0.11096270540653866, t2 -> 0.10735175136816875, adm -> 0.1335381484002928, aa -> 0.07486034397097717, yy -> 7.196102782680501, xx -> 13.57980836109493}}
{-1.2793903147577066*^6, {theta -> 1.2797457487909378, t1 -> 0.09918336224084187, t2 -> 0.12222547517250273, adm -> 0.1542280301292013, aa -> 0.10483858409269009, yy -> 6.629269380781956, xx -> 13.502534733782053}}
{-1.271152247681645*^6, {theta -> 1.278164981847607, t1 -> 0.021921607227958453, t2 -> 0.13655429981889505, adm -> 0.21358734332737098, aa -> 0.2018842254841488, yy -> 6.909585228806737, xx -> 13.936952898624249}}
{-1.2736698456458224*^6, {theta -> 1.2774406195852945, t1 -> 0.024431799122473598, t2 -> 0.11598261803950952, adm -> 0.22912351425766456, aa -> 0.1308006631185944, yy -> 6.870493502700487, xx -> 12.6016841010781}}
{-1.2841974499893067*^6, {theta -> 1.2967207849824731, t1 -> 0.1079968615553856, t2 -> 0.11632324960118645, adm -> 0.1430682409806798, aa -> 0.10185229272172885, yy -> 6.573231004163426, xx -> 13.259932481477463}}
{-1.2796933890414347*^6, {theta -> 1.298721969780593, t1 -> 0.10061050271515239, t2 -> 0.1143912431388892, adm -> 0.14618773103707475, aa -> 0.09709643292483339, yy -> 6.922439133303913, xx -> 13.49460068843365}}
{-1.286551929659469*^6, {theta -> 1.305479660532792, t1 -> 0.14780334985265, t2 -> 0.10545081584413722, adm -> 0.11446412205332127, aa -> 0.0663652034105362, yy -> 6.714738130793302, xx -> 13.435372527102404}}
{-1.286540688443751*^6, {theta -> 1.299146560362501, t1 -> 0.13622508180725254, t2 -> 0.10332500623720411, adm -> 0.12125206039878669, aa -> 0.05254902068211824, yy -> 6.648931361006584, xx -> 13.39646937451323}}
{-1.2805041997343383*^6, {theta -> 1.2941781648045607, t1 -> 0.11721292417331791, t2 -> 0.10797824131706761, adm -> 0.1474483490381942, aa -> 0.07716345507450344, yy -> 6.834258768679391, xx -> 13.50456081853317}}
{-1.2751905561311082*^6, {theta -> 1.2879129972050982, t1 -> 0.08433646297910381, t2 -> 0.11333543008715738, adm -> 0.16547107250190493, aa -> 0.11145220026307037, yy -> 6.916717307374395, xx -> 13.765248352526953}}
{-1.27468075959264*^6, {theta -> 1.2676828403583018, t1 -> 0.11494826780909062, t2 -> 0.10744265552817725, adm -> 0.1512521433644859, aa -> 0.08354287676396337, yy -> 7.023935585202336, xx -> 12.910583394487018}}
{-1.277723587862492*^6, {theta -> 1.2825231555831342, t1 -> 0.1062202996578646, t2 -> 0.10151960077141983, adm -> 0.15420168212321664, aa -> 0.07909500868403388, yy -> 6.875389826058975, xx -> 13.717074648090502}}
{-1.2800525859558703*^6, {theta -> 1.2960283434989182, t1 -> 0.09834062170386322, t2 -> 0.11868445880535594, adm -> 0.14715962094102591, aa -> 0.10680909963150118, yy -> 6.711571802335618, xx -> 13.662928143889616}}
{-1.277826280782286*^6, {theta -> 1.27270268526545, t1 -> 0.08163458994733525, t2 -> 0.11277160516854894, adm -> 0.18286429759112555, aa -> 0.10771450790249429, yy -> 6.689862390032002, xx -> 13.633997211787092}}
