{-3.52832173452464*^6, {theta -> 0.8973513261316174, t1 -> 0.15568681684455418, t2 -> 0.9743597250505028, aa -> 0.11132039177187675, yy -> 6.339729499001237, xx -> 0.15348532959366812}}
{-3.5390905829074793*^6, {theta -> 0.8986931925873026, t1 -> 0.14267989889223387, t2 -> 0.982844024566063, aa -> 0.06608241774419392, yy -> 6.714233671008735, xx -> 0.15304016854880464}}
{-3.5269146609888137*^6, {theta -> 0.8869817487790775, t1 -> 0.1671000918583014, t2 -> 0.986400750560333, aa -> 0.09415591196359308, yy -> 5.984345157620157, xx -> 0.153999237398355}}
{-3.537581962799103*^6, {theta -> 0.9355882561753603, t1 -> 0.1842326046958092, t2 -> 0.8611912866417246, aa -> 0.06648496553443642, yy -> 5.202930691359944, xx -> 0.17966776227667755}}
{-3.5299342153617647*^6, {theta -> 0.8954648545076562, t1 -> 0.1210979843888011, t2 -> 1.0185308691817037, aa -> 0.11203404523449514, yy -> 7.956131643948506, xx -> 0.15973370968586093}}
{-3.5276172546008686*^6, {theta -> 0.9025358148989067, t1 -> 0.1964504232992656, t2 -> 0.9280527593193917, aa -> 0.0755593414538859, yy -> 5.322184624523757, xx -> 0.16198793004980852}}
{-3.5191242653209795*^6, {theta -> 0.9084108046662989, t1 -> 0.13772373158341011, t2 -> 0.9724027824530133, aa -> 0.16834237659957701, yy -> 7.2296726674790355, xx -> 0.152956737079438}}
{-3.5348862836781205*^6, {theta -> 0.8928057856697347, t1 -> 0.14203430384771348, t2 -> 0.9994533702724143, aa -> 0.08993644776540857, yy -> 6.7279894848703705, xx -> 0.15234531680028743}}
{-3.5310995599814015*^6, {theta -> 0.9015206618343639, t1 -> 0.15678367007231364, t2 -> 0.9645573774132108, aa -> 0.11669944210724958, yy -> 6.2832988151763995, xx -> 0.1527138859138944}}
{-3.5245945937285665*^6, {theta -> 0.9029410307506296, t1 -> 0.13756956168765022, t2 -> 0.9794441757080911, aa -> 0.1607731221798243, yy -> 7.062629428505588, xx -> 0.14817413260036366}}
{-3.530632456542282*^6, {theta -> 0.8918676995329149, t1 -> 0.18053066183610045, t2 -> 0.975285078420518, aa -> 0.10999592653816506, yy -> 5.503130776121457, xx -> 0.16605907851833573}}
{-3.5359794751014607*^6, {theta -> 0.9181954689192293, t1 -> 0.21060042422008973, t2 -> 0.8404271447099592, aa -> 0.03442299575755921, yy -> 5.007337816480673, xx -> 0.10000818032525365}}
{-3.5392244167655706*^6, {theta -> 0.8893285215245765, t1 -> 0.14300040450168916, t2 -> 0.9723979934171953, aa -> 0.05598318334423058, yy -> 6.749397600703826, xx -> 0.10797109567494047}}
{-3.5377240207590004*^6, {theta -> 0.9246689613946546, t1 -> 0.1989149034773925, t2 -> 0.8564882040952881, aa -> 0.10935511218189697, yy -> 5.346426666691946, xx -> 0.11926247632453957}}
