{-7.194289328053197*^6, {theta -> 1.0840383866816397, t2 -> 1.545665407182701, adm -> 0.5702115185373358, aa -> 0.7798304633418924, yy -> 0.1098992715328227, xx -> 1.3104407625269134}}
{-7.197402553861236*^6, {theta -> 1.1432542055942385, t2 -> 1.5204177467690765, adm -> 0.5450140216790074, aa -> 0.7844340775986468, yy -> 0.11409193105245141, xx -> 1.3694262315885453}}
{-7.1987024791960735*^6, {theta -> 1.076225749719321, t2 -> 1.500231689884465, adm -> 0.5629265315668249, aa -> 0.7787031842715554, yy -> 0.10092676738782284, xx -> 1.2651837282334297}}
{-7.198118363085177*^6, {theta -> 1.0468877536998413, t2 -> 2.0798641604002768, adm -> 0.5894001546562012, aa -> 0.8258278714699869, yy -> 0.10203484983967678, xx -> 1.2559127556152585}}
{-7.199963041048535*^6, {theta -> 1.1041113102705062, t2 -> 1.5674449539226998, adm -> 0.5576676846240256, aa -> 0.7905950964334933, yy -> 0.10650743983907873, xx -> 1.320356372478571}}
{-7.2045702888342645*^6, {theta -> 1.059376656189101, t2 -> 1.5012652512563738, adm -> 0.5729905004548331, aa -> 0.7706448642307747, yy -> 0.11151514245573009, xx -> 1.2456558561904385}}
{-7.200386365503282*^6, {theta -> 1.0608943008565908, t2 -> 1.9928738751731885, adm -> 0.5916197182311851, aa -> 0.8305285805078562, yy -> 0.10640571734699972, xx -> 1.2525873976114394}}
{-7.205456749573116*^6, {theta -> 1.123625300211552, t2 -> 1.5, adm -> 0.5537509347914862, aa -> 0.7806313231591477, yy -> 0.10011090989741739, xx -> 1.3514811478308748}}
{-7.192170099443594*^6, {theta -> 1.0938059006847143, t2 -> 1.5011421837722618, adm -> 0.5607214590107683, aa -> 0.7855816516941, yy -> 0.1, xx -> 1.308003424111503}}
{-7.200738205193035*^6, {theta -> 1.0693569741848552, t2 -> 1.5056327404714653, adm -> 0.5694055434016947, aa -> 0.7694881833240463, yy -> 0.1042883510606397, xx -> 1.2778789621543956}}
{-7.1951541543909265*^6, {theta -> 1.085112854038333, t2 -> 1.500004192651219, adm -> 0.5649099721307171, aa -> 0.7792265671412413, yy -> 0.10075135347396993, xx -> 1.2985378821892426}}
{-7.204112079806432*^6, {theta -> 1.097754641743025, t2 -> 1.5014761840643622, adm -> 0.5556539747519211, aa -> 0.7836888756241586, yy -> 0.1143923872830973, xx -> 1.3027092350623546}}
{-7.199144346792521*^6, {theta -> 1.0892627359640332, t2 -> 1.5032220131846958, adm -> 0.5569265117527455, aa -> 0.7777135597208316, yy -> 0.10315241700455655, xx -> 1.2972937510467624}}
{-7.206274438634312*^6, {theta -> 1.0860702563932114, t2 -> 1.503020696318155, adm -> 0.5651108004527375, aa -> 0.7806118967266953, yy -> 0.10988885158801054, xx -> 1.2875343458728403}}
