{-1.1788885787979553*^7, {theta -> 2.7151274905862923, t1 -> 0.09445983755831977, t2 -> 0.860927475343625, aa -> 0.8890623159154417, yy -> 2.345018797831793, xx -> 0.1201239852043115}}
{-1.1685911726907643*^7, {theta -> 2.863699526613656, t1 -> 0.09162885524027406, t2 -> 1.0173426217445598, aa -> 0.9414096863146492, yy -> 2.4788865540073868, xx -> 0.025219680513876453}}
{-1.1881218456037082*^7, {theta -> 2.7079441038587655, t1 -> 0.0998678491776664, t2 -> 1.1163757689376015, aa -> 0.8804890861856727, yy -> 2.342786902061418, xx -> 0.025177887112987435}}
{-1.175044581004722*^7, {theta -> 2.83814149699948, t1 -> 0.09040579426346396, t2 -> 0.9061497572065885, aa -> 0.9199629440940533, yy -> 2.45124804798231, xx -> 0.036675294491502905}}
{-1.1686013863436138*^7, {theta -> 2.5859800987785677, t1 -> 0.09862401049903047, t2 -> 1.1005006004286908, aa -> 0.9364535074562097, yy -> 2.2442448078909756, xx -> 0.01922152828463798}}
{-1.1711962492868531*^7, {theta -> 2.8987884725725515, t1 -> 0.0901233427915418, t2 -> 0.9290800957162924, aa -> 0.9240958338204472, yy -> 2.5194217058028006, xx -> 0.013163172565448772}}
{-1.163871812170891*^7, {theta -> 2.9, t1 -> 0.08690853081947876, t2 -> 0.7838012132344717, aa -> 0.9544261875233827, yy -> 2.478920424004208, xx -> 0.016282616466715232}}
{-1.1690707710529005*^7, {theta -> 2.6941888320624106, t1 -> 0.09486521704929395, t2 -> 1.0536843340024522, aa -> 0.9394572989425084, yy -> 2.3085590214544864, xx -> 0.017782002690543988}}
{-1.1639411433400268*^7, {theta -> 2.8915581042824883, t1 -> 0.08735288621529683, t2 -> 0.6699456185462109, aa -> 0.942423003101239, yy -> 2.49235833874004, xx -> 0.052141147545209876}}
{-1.1708066178717054*^7, {theta -> 2.8674664081314427, t1 -> 0.08764955066362738, t2 -> 0.7394954496647084, aa -> 0.9068760967771485, yy -> 2.4736115022849323, xx -> 0.03925715895997893}}
{-1.1770152694545861*^7, {theta -> 2.641259545687894, t1 -> 0.0952037638516786, t2 -> 0.8617029729547422, aa -> 0.8796819823624467, yy -> 2.2731334892880546, xx -> 0.04437327601905417}}
