{-939714.3452320906, {theta -> 1.5389565978056758, t1 -> 0.369859203790844, yy -> 6.453777560905464, xx -> 9.782912660501754}}
{-936135.8963086365, {theta -> 1.5325625668279304, t1 -> 0.3624595647672484, yy -> 6.894238656922509, xx -> 9.582113641117166}}
{-938499.0931530168, {theta -> 1.5033439559308481, t1 -> 0.3699371236711686, yy -> 6.5422633562045, xx -> 9.030721948640302}}
{-938120.7143248687, {theta -> 1.533126068401744, t1 -> 0.3592102711553977, yy -> 6.417938989380288, xx -> 10.061499879829258}}
{-938930.8975547773, {theta -> 1.530466676569568, t1 -> 0.36122605906151517, yy -> 6.681340568128613, xx -> 9.471243621501248}}
{-943460.9462073441, {theta -> 1.5244302769662803, t1 -> 0.36103214077740764, yy -> 6.404528321205866, xx -> 8.765872582189147}}
{-947169.6512886486, {theta -> 1.5167942710203701, t1 -> 0.36836892348975925, yy -> 6.271277757912319, xx -> 8.06041495358545}}
{-940394.1130844017, {theta -> 1.5260158764351666, t1 -> 0.35772750025535194, yy -> 6.711526936776394, xx -> 8.880851810737322}}
{-944213.2714750294, {theta -> 1.5278574245744299, t1 -> 0.36077665755820437, yy -> 6.503144785798135, xx -> 8.705161677886656}}
{-939881.4281871691, {theta -> 1.514786357389854, t1 -> 0.36987621254329794, yy -> 6.320977078037478, xx -> 9.474845996679097}}
{-940176.1279150955, {theta -> 1.5576296425032585, t1 -> 0.3454094610127507, yy -> 6.838037632062489, xx -> 9.759027859072138}}
{-939172.113249508, {theta -> 1.5409528465484286, t1 -> 0.3583095095858936, yy -> 6.519816034214859, xx -> 9.811996299967998}}
{-937401.6981348364, {theta -> 1.5272722419836036, t1 -> 0.3642132674917626, yy -> 6.716774668742446, xx -> 9.421516200007712}}
{-940446.094971197, {theta -> 1.5286516352564758, t1 -> 0.3583073492017466, yy -> 6.412590500552796, xx -> 9.528490992026914}}
{-939024.2976644443, {theta -> 1.5160538521040112, t1 -> 0.3580589480359988, yy -> 6.583301656827921, xx -> 9.276797939536342}}
{-941044.1296330395, {theta -> 1.5209152970416233, t1 -> 0.36503714074894644, yy -> 6.372858988500321, xx -> 9.19380060628655}}
{-942714.2091855627, {theta -> 1.5232459908173808, t1 -> 0.35970555284420935, yy -> 6.69387182807339, xx -> 8.584410681059074}}
{-939791.9738045408, {theta -> 1.5338893143886019, t1 -> 0.3602454472111814, yy -> 6.654684342701339, xx -> 9.329389143550387}}
{-942334.280769674, {theta -> 1.5368581512914812, t1 -> 0.35992407794041337, yy -> 6.586987994947418, xx -> 9.061699009943608}}
{-937883.2890554288, {theta -> 1.5189421182074356, t1 -> 0.36425654420623876, yy -> 6.70576273159621, xx -> 9.258339024560929}}
{-940238.1748277876, {theta -> 1.5285065514370049, t1 -> 0.3576396201066819, yy -> 6.766047017308145, xx -> 8.867773343585785}}
{-940268.8768035213, {theta -> 1.522699267141025, t1 -> 0.36187488421537595, yy -> 6.677130039140034, xx -> 8.831423451709437}}
{-943414.0934986284, {theta -> 1.5212795731758813, t1 -> 0.36844817013067943, yy -> 6.2712220393287055, xx -> 8.945249212086328}}
{-938853.8282858096, {theta -> 1.5103926086576158, t1 -> 0.36421263357484246, yy -> 6.54267411718099, xx -> 9.135053714424199}}
{-945935.8813367735, {theta -> 1.5162362313113775, t1 -> 0.36708219817868665, yy -> 6.2397640944664925, xx -> 8.39717603379403}}
{-938866.8043358885, {theta -> 1.4988752603639581, t1 -> 0.3666774531924814, yy -> 6.4271469201604585, xx -> 8.993932588903984}}
{-939536.5400289503, {theta -> 1.5111956055360902, t1 -> 0.36696143986656465, yy -> 6.367791987674801, xx -> 9.239267505027891}}
{-942632.2005856795, {theta -> 1.507376752319631, t1 -> 0.3736922515768447, yy -> 6.2576491342330165, xx -> 8.74244728081074}}
{-936185.5411865083, {theta -> 1.5311586401258575, t1 -> 0.35740310744095216, yy -> 6.938450856361429, xx -> 9.406597815755354}}
{-939937.7890949203, {theta -> 1.5333536943383916, t1 -> 0.35750968061454247, yy -> 6.729164239018779, xx -> 9.183005136747578}}
{-941833.6236802966, {theta -> 1.5391268289360762, t1 -> 0.3510377583951616, yy -> 6.809693065195129, xx -> 8.811154657160763}}
{-940967.6157437081, {theta -> 1.5107138238554159, t1 -> 0.3732711154806164, yy -> 6.353924707247734, xx -> 9.068768774055265}}
{-940938.8094934955, {theta -> 1.5097931363484713, t1 -> 0.36587664145732124, yy -> 6.4670491415506905, xx -> 8.894778539352195}}
{-946007.7802358374, {theta -> 1.5054516833255531, t1 -> 0.3724510078191937, yy -> 6.155718284683975, xx -> 8.196721326005456}}
