{{-1.2537234551471372*^6, {theta -> 0.3554225000102002, t1 -> 0.7349044458913676, t2 -> 3.4094806002866367, yy -> 0.30510051477074773, xx -> 3.9270989611383627}}}
{{-1.2598675742295203*^6, {theta -> 0.45243262444642873, t1 -> 0.47708449330679403, t2 -> 2.76895181904991, yy -> 0.3808733987483779, xx -> 5.2148239052257095}}}
{{-1.265030354936833*^6, {theta -> 0.4536446113479121, t1 -> 0.5046461438911203, t2 -> 2.7848393109446574, yy -> 0.3847949746442448, xx -> 4.761102978726921}}}
{{-1.263173226170904*^6, {theta -> 0.4511216116577539, t1 -> 0.46753190830826635, t2 -> 2.7093519449237577, yy -> 0.3736660935283063, xx -> 5.490726087476197}}}
{{-1.2519304930840596*^6, {theta -> 0.41996701861407504, t1 -> 0.5594254927207141, t2 -> 3.110236494219185, yy -> 0.3688058209968268, xx -> 5.1179503630527545}}}
{{-1.258487279105708*^6, {theta -> 0.38033776764530236, t1 -> 0.8075560446443005, t2 -> 3.092206335733845, yy -> 0.3371384338542036, xx -> 3.4947992905566547}}}
{{-1.2587730947527396*^6, {theta -> 0.4550345979751246, t1 -> 0.4810498556991518, t2 -> 2.7457784466923276, yy -> 0.38545539274245816, xx -> 5.369978100058965}}}
{{-1.2599388934940791*^6, {theta -> 0.4177833889758576, t1 -> 0.6091195324849907, t2 -> 2.862433719637895, yy -> 0.3697315859698342, xx -> 4.086095859559935}}}
{{-1.2607200144544349*^6, {theta -> 0.4547611193930713, t1 -> 0.49005319063104674, t2 -> 2.832955402145546, yy -> 0.3868738692111137, xx -> 5.188708095011001}}}
{{-1.2611138648233772*^6, {theta -> 0.4425048784528165, t1 -> 0.44879035777924475, t2 -> 2.8796031345612763, yy -> 0.37012128286186075, xx -> 5.315054513706436}}}
{{-1.2567534054430467*^6, {theta -> 0.36346063301616643, t1 -> 0.6244754163782081, t2 -> 3.4128429670030576, yy -> 0.3015018869980011, xx -> 4.262923621584853}}}
{{-1.2631200955833374*^6, {theta -> 0.448412682734355, t1 -> 0.4985446774209019, t2 -> 2.6700315951291684, yy -> 0.36829446508738717, xx -> 5.129130507776826}}}
{{-1.2573977691876402*^6, {theta -> 0.42912813987467413, t1 -> 0.5221203852552576, t2 -> 2.91521088243446, yy -> 0.3645594671064027, xx -> 5.114610613159108}}}
{{-1.2648267474997283*^6, {theta -> 0.38341668439744925, t1 -> 0.7220281620536118, t2 -> 2.9864487102866057, yy -> 0.3086477350538947, xx -> 3.8617588046438653}}}
{{-1.2583158670116537*^6, {theta -> 0.4061725340274671, t1 -> 0.4941543488979067, t2 -> 3.2083430125765293, yy -> 0.34703849134497744, xx -> 5.100395208288292}}}
{{-1.2625034438471198*^6, {theta -> 0.4562852633576864, t1 -> 0.5113798093468443, t2 -> 2.693223743415098, yy -> 0.3882002305177269, xx -> 4.958061356833719}}}
{{-1.2616731955718838*^6, {theta -> 0.45238806090106504, t1 -> 0.4809978044515576, t2 -> 2.7479250336192136, yy -> 0.3766360565786444, xx -> 5.368124182792302}}}
{{-1.2641185425629832*^6, {theta -> 0.4460751347870025, t1 -> 0.4885260448370615, t2 -> 2.7206402760255983, yy -> 0.35825166076389514, xx -> 5.245967622601565}}}
{{-1.251615129399894*^6, {theta -> 0.43770037036907583, t1 -> 0.46287313061349755, t2 -> 3.055484915021536, yy -> 0.3628231502520938, xx -> 5.638887445297943}}}
{{-1.2556162909878516*^6, {theta -> 0.40417986378561477, t1 -> 0.6178469256879022, t2 -> 3.1172990923923467, yy -> 0.34662638077101254, xx -> 4.56248643913262}}}
{{-1.259264287170005*^6, {theta -> 0.424941522814317, t1 -> 0.46639779544266324, t2 -> 2.877047785739983, yy -> 0.3368250714166668, xx -> 5.9054715875018635}}}
{{-1.2635308857159768*^6, {theta -> 0.4539736340203078, t1 -> 0.5022128949532997, t2 -> 2.7275588803792488, yy -> 0.38500662489376253, xx -> 5.303598744669397}}}
{{-1.266140950110111*^6, {theta -> 0.4496876379144465, t1 -> 0.48767108431624107, t2 -> 2.706312091710823, yy -> 0.37307358884946973, xx -> 5.166660882376196}}}
{{-1.255732493177222*^6, {theta -> 0.452055208085008, t1 -> 0.4570829963247902, t2 -> 2.88463288776778, yy -> 0.3838967250628363, xx -> 5.680320392108559}}}
{{-1.2594762536602335*^6, {theta -> 0.43158015952665085, t1 -> 0.5179034930641826, t2 -> 2.842361763313778, yy -> 0.3730393155820487, xx -> 5.290121587680991}}}
{{-1.2579622723953645*^6, {theta -> 0.45524144267603467, t1 -> 0.4699489430317335, t2 -> 2.761479198581252, yy -> 0.3852324615752408, xx -> 5.720052153461185}}}
{{-1.26420805943047*^6, {theta -> 0.4584318008110713, t1 -> 0.5171359238181942, t2 -> 2.6725953112452787, yy -> 0.3894930597459883, xx -> 5.061788454919737}}}
