{{-7.913348145466365*^6, {theta -> 0.7026965920579012, t1 -> 0.7252043282556516, t2 -> 0.5071658001099948, yy -> 0.1781385217788451, xx -> 0.7227627276835262}}}
{{-7.911148911292192*^6, {theta -> 0.7033807865073581, t1 -> 0.7302162955087654, t2 -> 0.5048625237906691, yy -> 0.17911090358324686, xx -> 0.7256986170674097}}}
{{-7.903917617455231*^6, {theta -> 0.6941548140544778, t1 -> 0.734052450903864, t2 -> 0.5155890486755396, yy -> 0.17995039697849197, xx -> 0.7162560629350649}}}
{{-7.912906166152189*^6, {theta -> 0.7038009142134498, t1 -> 0.7316358626669772, t2 -> 0.5000352435764932, yy -> 0.16937332462475685, xx -> 0.7261770389568746}}}
{{-7.90499931215303*^6, {theta -> 0.699187137586075, t1 -> 0.737119285444108, t2 -> 0.509160854602771, yy -> 0.18302750308899268, xx -> 0.7259029919147242}}}
{{-7.906770031109082*^6, {theta -> 0.6956243304636505, t1 -> 0.7433945354365985, t2 -> 0.5062191175150657, yy -> 0.17867246774539308, xx -> 0.7198621909221286}}}
{{-7.908970487580569*^6, {theta -> 0.69980109212354, t1 -> 0.7309111522274865, t2 -> 0.5056825676640955, yy -> 0.18607543032257567, xx -> 0.7183842033112153}}}
{{-7.9091181688538175*^6, {theta -> 0.6989347935764841, t1 -> 0.7336549086497907, t2 -> 0.5023245933216054, yy -> 0.18647409053554553, xx -> 0.7184542134587961}}}
{{-7.912315197736389*^6, {theta -> 0.7080076276585678, t1 -> 0.7259682887174284, t2 -> 0.49895700666947707, yy -> 0.1824785066425298, xx -> 0.7315824680879227}}}
{{-7.914084106901149*^6, {theta -> 0.7088680407019218, t1 -> 0.7212520049301913, t2 -> 0.5054704269023024, yy -> 0.19129145817025284, xx -> 0.7303678950194696}}}
{{-7.91642353651555*^6, {theta -> 0.7094997278398982, t1 -> 0.7253812282778069, t2 -> 0.4981909876836788, yy -> 0.17698115854367297, xx -> 0.7315900220602599}}}
{{-7.914448071701685*^6, {theta -> 0.710602566165139, t1 -> 0.7214608222482555, t2 -> 0.5017144708560312, yy -> 0.18405099250075085, xx -> 0.7331514508275541}}}
{{-7.905668404906102*^6, {theta -> 0.7000059179878124, t1 -> 0.7328860952781159, t2 -> 0.5008258741165048, yy -> 0.17945798693868964, xx -> 0.7230209560326808}}}
{{-7.905704873463114*^6, {theta -> 0.6963942129707394, t1 -> 0.7379855716584367, t2 -> 0.5041379578201037, yy -> 0.17544623751742877, xx -> 0.7190533367182358}}}
{{-7.90803324979435*^6, {theta -> 0.6996381186136993, t1 -> 0.7387434169830345, t2 -> 0.5033982112026786, yy -> 0.17965110032213016, xx -> 0.7254094520647705}}}
{{-7.910209092635288*^6, {theta -> 0.7047950325920103, t1 -> 0.7252813324729812, t2 -> 0.5035936623604607, yy -> 0.19225140988701628, xx -> 0.7256077897368873}}}
{{-7.902028981990879*^6, {theta -> 0.7000388804792759, t1 -> 0.7281349689935769, t2 -> 0.5151975579418895, yy -> 0.18665007417375234, xx -> 0.7254720140775217}}}
{{-7.913064967083241*^6, {theta -> 0.7103030895846927, t1 -> 0.7131908533130603, t2 -> 0.5101398086334388, yy -> 0.188188576031744, xx -> 0.7305524636154155}}}
{{-7.910032105531049*^6, {theta -> 0.7041078524376883, t1 -> 0.7258914628501201, t2 -> 0.5076249294297919, yy -> 0.18180653213235343, xx -> 0.7261506281151328}}}
{{-7.910750439066042*^6, {theta -> 0.6993550023657851, t1 -> 0.7307090858419248, t2 -> 0.5060165842166573, yy -> 0.17842482480296407, xx -> 0.7170422874606137}}}
{{-7.902368568995279*^6, {theta -> 0.6928991944397805, t1 -> 0.740275989447479, t2 -> 0.508544181850569, yy -> 0.1828497065080254, xx -> 0.7146516591665757}}}
{{-7.906006404645939*^6, {theta -> 0.6988237285374503, t1 -> 0.7419816160046744, t2 -> 0.5014531749874558, yy -> 0.19412085271602908, xx -> 0.7239909229538435}}}
{{-7.907768530453606*^6, {theta -> 0.6933778385389155, t1 -> 0.7425570063780436, t2 -> 0.508502388706993, yy -> 0.17697158330479407, xx -> 0.713249045423544}}}
{{-7.9047714125578515*^6, {theta -> 0.6924502433361232, t1 -> 0.7407432515016656, t2 -> 0.5127900478389347, yy -> 0.18186414882475188, xx -> 0.7151792670765846}}}
{{-7.9078620110796485*^6, {theta -> 0.6984912332664186, t1 -> 0.7352684659176061, t2 -> 0.5056970865485069, yy -> 0.18100795156803967, xx -> 0.7206379688227539}}}
{{-7.901175358056981*^6, {theta -> 0.6878469720587246, t1 -> 0.7478856753641364, t2 -> 0.504661102993987, yy -> 0.18645696327177708, xx -> 0.7073218443986411}}}
{{-7.907535674028645*^6, {theta -> 0.7017142879125039, t1 -> 0.7290403567213251, t2 -> 0.5098134189191604, yy -> 0.17883392086470118, xx -> 0.7245335290956273}}}
{{-7.91667078932264*^6, {theta -> 0.7068957884293258, t1 -> 0.7285298957355282, t2 -> 0.4993000043311504, yy -> 0.17536065612741725, xx -> 0.7282458938652845}}}
{{-7.908522736663937*^6, {theta -> 0.7036508994587507, t1 -> 0.7282925328161618, t2 -> 0.505573782071067, yy -> 0.18198876496513972, xx -> 0.7274146853857795}}}
{{-7.903955771643243*^6, {theta -> 0.6924853243663165, t1 -> 0.7370462979273323, t2 -> 0.5138252686239351, yy -> 0.1757796342534946, xx -> 0.7134914833117377}}}
{{-7.908770535230018*^6, {theta -> 0.6980175884473016, t1 -> 0.7322010887172289, t2 -> 0.5092824234313299, yy -> 0.17265393621323982, xx -> 0.7179341587298704}}}
{{-7.90450018607003*^6, {theta -> 0.6986840062116173, t1 -> 0.7382448677463065, t2 -> 0.5003387657198216, yy -> 0.18521802978866783, xx -> 0.7234338778871772}}}
{{-7.914411227631184*^6, {theta -> 0.7066705062767326, t1 -> 0.7274439508905528, t2 -> 0.5035980221480718, yy -> 0.18396702105579243, xx -> 0.7288848372100835}}}
{{-7.904376519883177*^6, {theta -> 0.7003969274215521, t1 -> 0.7308615598500495, t2 -> 0.5069165043160833, yy -> 0.17561214695594043, xx -> 0.7245244208351816}}}
{{-7.900763652228066*^6, {theta -> 0.6919367292159284, t1 -> 0.74078612439276, t2 -> 0.5100011557961794, yy -> 0.1722126101516575, xx -> 0.7152151775362661}}}
{{-7.908741309859311*^6, {theta -> 0.6965724939446497, t1 -> 0.7344053247525371, t2 -> 0.5111909580755749, yy -> 0.18518428205001242, xx -> 0.7162972913552867}}}
{{-7.9116164485935895*^6, {theta -> 0.7101201434766129, t1 -> 0.7161625269582688, t2 -> 0.5099381853914255, yy -> 0.18322636899229927, xx -> 0.7323761770659069}}}
{{-7.897877253414634*^6, {theta -> 0.6847087267280119, t1 -> 0.7484826073170832, t2 -> 0.5201907107855346, yy -> 0.18076674201192922, xx -> 0.7082436109497089}}}
{{-7.909965828035436*^6, {theta -> 0.6971018465521723, t1 -> 0.7389154259572566, t2 -> 0.5082611743377446, yy -> 0.17437820652273922, xx -> 0.7181501369144132}}}
{{-7.901232132859198*^6, {theta -> 0.695426217010492, t1 -> 0.7360324788666791, t2 -> 0.5085555488507197, yy -> 0.17880372987506732, xx -> 0.7197020858234571}}}
{{-7.898862395416096*^6, {theta -> 0.6818262855087858, t1 -> 0.7503477187230276, t2 -> 0.5228187905352315, yy -> 0.17303997179230948, xx -> 0.7021863426653596}}}
{{-7.91203044328034*^6, {theta -> 0.7104311212364672, t1 -> 0.7240983196789015, t2 -> 0.49865380033086293, yy -> 0.1765717320488165, xx -> 0.7348303491292452}}}
{{-7.907420740179984*^6, {theta -> 0.6998173840721781, t1 -> 0.7356698351103389, t2 -> 0.5069741958866321, yy -> 0.18738421593140514, xx -> 0.7249317611536161}}}
{{-7.913855919622401*^6, {theta -> 0.7040030686125508, t1 -> 0.7348521123248026, t2 -> 0.4977800219852528, yy -> 0.17995386807723687, xx -> 0.7261490590497578}}}
{{-7.916094151475061*^6, {theta -> 0.7085531082244325, t1 -> 0.7238870438086391, t2 -> 0.5042171335127645, yy -> 0.18579802022651923, xx -> 0.7298217710991088}}}
{{-7.908416865072444*^6, {theta -> 0.6985497688406429, t1 -> 0.7310911149736836, t2 -> 0.5113388955865724, yy -> 0.18596199963620483, xx -> 0.7186630121354542}}}
{{-7.904252805725227*^6, {theta -> 0.6944229763326115, t1 -> 0.7408280479029945, t2 -> 0.5067913171081084, yy -> 0.19260525152371846, xx -> 0.7164045838280739}}}
{{-7.8951287370434515*^6, {theta -> 0.6846938230774982, t1 -> 0.7444384089851712, t2 -> 0.5131839008559556, yy -> 0.18307052852882205, xx -> 0.7045166138573569}}}
{{-7.907697230822748*^6, {theta -> 0.7014537303235845, t1 -> 0.7370988329595645, t2 -> 0.5026935624626776, yy -> 0.17936460554408235, xx -> 0.728022218122006}}}
{{-7.910676149560142*^6, {theta -> 0.7045554070243105, t1 -> 0.7248978465898639, t2 -> 0.5017412670402239, yy -> 0.186376242024707, xx -> 0.7237492198283024}}}
{{-7.91113541384721*^6, {theta -> 0.7006544556142273, t1 -> 0.7295680678458696, t2 -> 0.5060245957660436, yy -> 0.17993573012298048, xx -> 0.7220410576354817}}}
{{-7.912305741945887*^6, {theta -> 0.7018603770662106, t1 -> 0.7347184757289461, t2 -> 0.5019921109507051, yy -> 0.17002262153710407, xx -> 0.7236552971582637}}}
{{-7.9039138386688735*^6, {theta -> 0.6933979430203392, t1 -> 0.7430522271239945, t2 -> 0.5129695038896049, yy -> 0.1755853623313871, xx -> 0.7177139904322047}}}
{{-7.909502842999935*^6, {theta -> 0.7014950380092095, t1 -> 0.7345289825941617, t2 -> 0.5027183431930975, yy -> 0.17702717705298154, xx -> 0.7247315858086614}}}
{{-7.910038527333692*^6, {theta -> 0.6938475750541822, t1 -> 0.736128632665527, t2 -> 0.5140631708113383, yy -> 0.17496120331121043, xx -> 0.7111328027433172}}}
{{-7.904345383577082*^6, {theta -> 0.6934606699208327, t1 -> 0.7415322172505433, t2 -> 0.510035810960191, yy -> 0.17577988639455575, xx -> 0.7169873261680114}}}
{{-7.9036540440369*^6, {theta -> 0.6920351443998085, t1 -> 0.7401309464441794, t2 -> 0.5130358728660096, yy -> 0.1807920553173701, xx -> 0.7126338042437339}}}
{{-7.9029536450336315*^6, {theta -> 0.6885235659734, t1 -> 0.7427403604549652, t2 -> 0.51292189057018, yy -> 0.17798042685739177, xx -> 0.7077621902313638}}}
{{-7.908346643491466*^6, {theta -> 0.7008055736374501, t1 -> 0.72900134080147, t2 -> 0.506284250564021, yy -> 0.17023332626782878, xx -> 0.7220770191490884}}}
{{-7.90787029793979*^6, {theta -> 0.700897746962438, t1 -> 0.72687010458316, t2 -> 0.5074736578510388, yy -> 0.1779049440917171, xx -> 0.7203847134741459}}}
{{-7.905356217279405*^6, {theta -> 0.6979588565078513, t1 -> 0.7298773078529979, t2 -> 0.5087697985556257, yy -> 0.1902680895836366, xx -> 0.7161752308623214}}}
{{-7.911968735681292*^6, {theta -> 0.7002601565563262, t1 -> 0.7307809863487085, t2 -> 0.5049966794378594, yy -> 0.1736182824003653, xx -> 0.7192195522999596}}}
{{-7.906095724020543*^6, {theta -> 0.6964167060590902, t1 -> 0.7354717546401988, t2 -> 0.512626200321194, yy -> 0.17824714687563367, xx -> 0.7183382107992651}}}
{{-7.908825819209264*^6, {theta -> 0.6938627713753265, t1 -> 0.7466406218823323, t2 -> 0.5078961695873032, yy -> 0.1812905531668456, xx -> 0.7160549376221599}}}
{{-7.900728523562916*^6, {theta -> 0.6938561862361685, t1 -> 0.7410354588287015, t2 -> 0.5074132234435725, yy -> 0.17586672029604217, xx -> 0.7187948503473245}}}
{{-7.901137777755849*^6, {theta -> 0.6925352531003612, t1 -> 0.7419023316599851, t2 -> 0.5115137889650236, yy -> 0.1763927473414352, xx -> 0.7185385066307923}}}
{{-7.906770031109082*^6, {theta -> 0.6956243304636505, t1 -> 0.7433945354365985, t2 -> 0.5062191175150657, yy -> 0.17867246774539308, xx -> 0.7198621909221286}}}
{{-7.912812131772391*^6, {theta -> 0.706960220480479, t1 -> 0.7302630034519018, t2 -> 0.4979932230048224, yy -> 0.1828797535905513, xx -> 0.7316796173748583}}}
{{-7.915655231313975*^6, {theta -> 0.7055772306904178, t1 -> 0.7296021554267881, t2 -> 0.49625240493615547, yy -> 0.18217462141653795, xx -> 0.7247770477711756}}}
{{-7.908120454424474*^6, {theta -> 0.6979928024561066, t1 -> 0.73272251375671, t2 -> 0.5099472381726251, yy -> 0.176868108158865, xx -> 0.7179064241024803}}}
{{-7.903264017102962*^6, {theta -> 0.6958918533966878, t1 -> 0.7353402839184524, t2 -> 0.5084326863633829, yy -> 0.17504852303689378, xx -> 0.7188179771917348}}}
{{-7.902790740010878*^6, {theta -> 0.6895322892818434, t1 -> 0.7431655961669792, t2 -> 0.5103449035211503, yy -> 0.1723084167197657, xx -> 0.71001657539703}}}
{{-7.908224876703594*^6, {theta -> 0.692450851394361, t1 -> 0.7405886555396879, t2 -> 0.5119515803618884, yy -> 0.17746494432701176, xx -> 0.7126648212397219}}}
