{-3.6726851493055588*^6, {theta -> 0.5834075474341817, t2 -> 2.2632615802222853, adm -> 0.45098949774421787, aa -> 0.50036346804607, yy -> 0.7820977211269922, xx -> 0.42289561950075455}}
{-3.670351703140828*^6, {theta -> 0.6600909643765982, t2 -> 2.034949095950277, adm -> 0.39225953901202537, aa -> 0.5390095459619582, yy -> 0.9113760055726252, xx -> 0.3650136689732424}}
{-3.6746457088108957*^6, {theta -> 0.5353821880676107, t2 -> 2.969411550949262, adm -> 0.3859967322384721, aa -> 0.5395821317567149, yy -> 0.6985921345809032, xx -> 0.1765731665004888}}
{-3.675164151374964*^6, {theta -> 0.3902446191125267, t2 -> 3.915304620367794, adm -> 0.6688469643466117, aa -> 0.511104721455924, yy -> 0.5056411393532508, xx -> 0.30270915516084107}}
{-3.661781479773706*^6, {theta -> 0.45133853240053207, t2 -> 3.256300727567437, adm -> 0.5394340006905676, aa -> 0.4980399088003331, yy -> 0.5929571297435323, xx -> 0.4056188323315868}}
{-3.6741192340360675*^6, {theta -> 0.42128224448191864, t2 -> 3.565834011825769, adm -> 0.6178496172429576, aa -> 0.5086408790773036, yy -> 0.54901229477831, xx -> 0.3138550687712736}}
{-3.666398181429836*^6, {theta -> 0.4319933672026426, t2 -> 3.5263849491942474, adm -> 0.5766838975018597, aa -> 0.507910189521436, yy -> 0.5599088125292044, xx -> 0.35394588187374637}}
{-3.672580212656873*^6, {theta -> 0.5891520360096762, t2 -> 2.246481761935314, adm -> 0.4439727160261507, aa -> 0.5042328128052916, yy -> 0.78553001272592, xx -> 0.41217796307145776}}
{-3.670453754519312*^6, {theta -> 0.5812357093606236, t2 -> 2.4958299159203294, adm -> 0.4377161080135487, aa -> 0.5707165352018357, yy -> 0.8153772062183233, xx -> 0.3418390930003111}}
{-3.6699440216360483*^6, {theta -> 0.38243612966361973, t2 -> 4.087069210131991, adm -> 0.6846568974257896, aa -> 0.5181351295392418, yy -> 0.5011845117029389, xx -> 0.3034833391068311}}
{-3.67140956267355*^6, {theta -> 0.5464291410238548, t2 -> 3.0432430127397927, adm -> 0.4602777043446804, aa -> 0.5688417573789791, yy -> 0.7533535039019291, xx -> 0.25651553239757785}}
{-3.679769452062293*^6, {theta -> 0.6920505449764836, t2 -> 2.1855529828278355, adm -> 0.361730978348663, aa -> 0.5521809754430964, yy -> 0.9431725367031595, xx -> 0.41233202733095475}}
{-3.6790304132922413*^6, {theta -> 0.5145099623742135, t2 -> 2.9397456790392673, adm -> 0.5619943827896969, aa -> 0.5598900962468166, yy -> 0.7224462041778708, xx -> 0.2790649018466722}}
{-3.673868205597607*^6, {theta -> 0.4905326879193771, t2 -> 2.9071800134909087, adm -> 0.530633462706446, aa -> 0.5023210449634654, yy -> 0.6428641633455774, xx -> 0.3806230681774502}}
{-3.679815617200723*^6, {theta -> 0.6702436471569201, t2 -> 2.024477431414658, adm -> 0.4054993294752254, aa -> 0.5268241879304942, yy -> 0.9455040177698275, xx -> 0.36261020034584146}}
{-3.672512901814714*^6, {theta -> 0.6053420265199294, t2 -> 2.1588956483470847, adm -> 0.4446015226639576, aa -> 0.5187942534643437, yy -> 0.8072734758588328, xx -> 0.46401393872607155}}
{-3.6630638741834136*^6, {theta -> 0.37415967539751893, t2 -> 4.180491515104418, adm -> 0.7053210814685114, aa -> 0.5324837553518269, yy -> 0.4928846124302326, xx -> 0.28050901263762773}}
{-3.6750824797629965*^6, {theta -> 0.6291805366698655, t2 -> 2.272507511956081, adm -> 0.3978667106345245, aa -> 0.5307667228466707, yy -> 0.8858750027115959, xx -> 0.4075429449110762}}
{-3.677562914903703*^6, {theta -> 0.6253636810139129, t2 -> 2.3791212501488523, adm -> 0.43044743703739485, aa -> 0.5432028914294373, yy -> 0.8970147739863492, xx -> 0.24723708651229415}}
{-3.667662412704647*^6, {theta -> 0.38260484741849804, t2 -> 4.037692247864161, adm -> 0.6823493079360976, aa -> 0.5171172892149175, yy -> 0.5004603780531084, xx -> 0.3047601769418046}}
{-3.6736122390739475*^6, {theta -> 0.6420456321183243, t2 -> 2.032067074856794, adm -> 0.39470138333726484, aa -> 0.4884187121199428, yy -> 0.878738430292433, xx -> 0.2841725911629733}}
{-3.6777746114261067*^6, {theta -> 0.6525485502806516, t2 -> 2.1191441691095436, adm -> 0.4104373767111137, aa -> 0.5398331070792095, yy -> 0.8996489089464789, xx -> 0.3913319750765195}}
{-3.675769035882161*^6, {theta -> 0.6351203657808486, t2 -> 2.052375175641174, adm -> 0.4172089903337352, aa -> 0.509130828792746, yy -> 0.870180488401542, xx -> 0.4342226164725821}}
{-3.666732593782003*^6, {theta -> 0.41695007841140963, t2 -> 3.6468019937557195, adm -> 0.6300951763009724, aa -> 0.5162264748331213, yy -> 0.5487359431134895, xx -> 0.34486011021162805}}
{-3.6770725970493564*^6, {theta -> 0.577262874523812, t2 -> 2.301309188899303, adm -> 0.44048404142506237, aa -> 0.501106571295102, yy -> 0.7590694077291155, xx -> 0.4155749876849505}}
{-3.66971724899902*^6, {theta -> 0.5598722087968607, t2 -> 2.5496197031270187, adm -> 0.4284315695419433, aa -> 0.49803831423194844, yy -> 0.7424327851206111, xx -> 0.4724953530201815}}
{-3.6795197277660444*^6, {theta -> 0.4288257471306427, t2 -> 3.7306184756988934, adm -> 0.512882931569327, aa -> 0.5111610460405129, yy -> 0.5451794227058052, xx -> 0.3004396419475979}}
{-3.6728135452151485*^6, {theta -> 0.5662591276294922, t2 -> 2.7019016193744, adm -> 0.4261637291219106, aa -> 0.5715477385968651, yy -> 0.758355717375444, xx -> 0.26610406276633414}}
{-3.6705528899986185*^6, {theta -> 0.5984990398831281, t2 -> 2.649744851127888, adm -> 0.46558579118037796, aa -> 0.6036737476227617, yy -> 0.8255554585969735, xx -> 0.3262569472724193}}
{-3.671352250182879*^6, {theta -> 0.6799855218085513, t2 -> 2., adm -> 0.38601780784530226, aa -> 0.5301972560124528, yy -> 0.9327157673293698, xx -> 0.3897743310567748}}
{-3.672899806522333*^6, {theta -> 0.634240347781466, t2 -> 2.046057515623695, adm -> 0.42078968839307174, aa -> 0.5054850472180158, yy -> 0.8712772065233052, xx -> 0.39358400809758043}}
{-3.6712916559329093*^6, {theta -> 0.6710664853741201, t2 -> 2., adm -> 0.4308033021925038, aa -> 0.5346836360814106, yy -> 0.9694360846835578, xx -> 0.3430146261861584}}
{-3.678818770782603*^6, {theta -> 0.6605572201746609, t2 -> 2.159015742995808, adm -> 0.37833476914998154, aa -> 0.5393706877827242, yy -> 0.8892690130193758, xx -> 0.4140810047756859}}
{-3.666050209523355*^6, {theta -> 0.5469149484818514, t2 -> 2.5108805362228352, adm -> 0.4966004936845828, aa -> 0.5187795971286552, yy -> 0.7367262193411831, xx -> 0.42365191745207553}}
{-3.6711479285960854*^6, {theta -> 0.6510101587949297, t2 -> 2.049757564567873, adm -> 0.3401158274012327, aa -> 0.4934598148505136, yy -> 0.8394532072411394, xx -> 0.2932791114960908}}
