{-5.917845765073558*^6, {theta -> 1.530408878576128, t1 -> 0.2546412047102704, yy -> 0.010165927614252175, xx -> 0.01}}
{-5.916123092283187*^6, {theta -> 1.5106862143755038, t1 -> 0.26662090589219006, yy -> 0.010449158980667549, xx -> 0.010102159739213846}}
{-5.916983239389015*^6, {theta -> 1.5262488531568463, t1 -> 0.2632099294174192, yy -> 0.01, xx -> 0.023715334405369264}}
{-5.918407017508304*^6, {theta -> 1.5380912430163987, t1 -> 0.25235137371685024, yy -> 0.011571663323387594, xx -> 0.022183332061226354}}
{-5.919004639107749*^6, {theta -> 1.5145384186914757, t1 -> 0.26647592067524595, yy -> 0.010770330572108792, xx -> 0.010926238883165598}}
{-5.920238412464546*^6, {theta -> 1.5378496678593314, t1 -> 0.25126459561788456, yy -> 0.01, xx -> 0.018143510230786163}}
{-5.9185718606367465*^6, {theta -> 1.5162189377752675, t1 -> 0.2643911504434513, yy -> 0.01, xx -> 0.010004251815354921}}
{-5.918066921140384*^6, {theta -> 1.5369729993994437, t1 -> 0.25198134429045793, yy -> 0.04608954433717075, xx -> 0.020364657403061398}}
{-5.9198451473940965*^6, {theta -> 1.53657439084679, t1 -> 0.25282096358633827, yy -> 0.010062067869880802, xx -> 0.01006708446478156}}
{-5.912579862146037*^6, {theta -> 1.5189562974075046, t1 -> 0.26031911411952824, yy -> 0.01013775485421604, xx -> 0.01}}
{-5.912895625537282*^6, {theta -> 1.507784669193798, t1 -> 0.2669968994667043, yy -> 0.011698280295296858, xx -> 0.010230055002279744}}
{-5.915948068416856*^6, {theta -> 1.5255113366473783, t1 -> 0.25709108308106676, yy -> 0.018124928929171447, xx -> 0.01}}
{-5.919119174856147*^6, {theta -> 1.5346760390942202, t1 -> 0.2508401274998249, yy -> 0.01604474491339495, xx -> 0.010931921181220872}}
{-5.920074525206677*^6, {theta -> 1.5300932130836942, t1 -> 0.25477226271038766, yy -> 0.010036715225321855, xx -> 0.010050678773056484}}
{-5.923362818921514*^6, {theta -> 1.5498400566963364, t1 -> 0.24713562443231352, yy -> 0.01, xx -> 0.01}}
{-5.920248726489093*^6, {theta -> 1.55016430887085, t1 -> 0.24248250023644535, yy -> 0.010023203884238207, xx -> 0.01000015585066853}}
{-5.919733161920803*^6, {theta -> 1.5246491375498827, t1 -> 0.2590309258961171, yy -> 0.01, xx -> 0.010029927290112938}}
{-5.915977237281641*^6, {theta -> 1.5184799702593073, t1 -> 0.2601534032913346, yy -> 0.01, xx -> 0.01}}
{-5.922018582219769*^6, {theta -> 1.5335515668824944, t1 -> 0.2550589219507568, yy -> 0.010000490175630893, xx -> 0.01}}
{-5.915174657955449*^6, {theta -> 1.499827635749656, t1 -> 0.2664962618075918, yy -> 0.01, xx -> 0.019956991378437892}}
{-5.917471649072869*^6, {theta -> 1.5383303633426761, t1 -> 0.25161268911284473, yy -> 0.01, xx -> 0.01}}
{-5.918671780105552*^6, {theta -> 1.514802366456919, t1 -> 0.26381062759061563, yy -> 0.01, xx -> 0.01008593838926302}}
{-5.918687698596049*^6, {theta -> 1.521265255932328, t1 -> 0.25842897622259975, yy -> 0.011588118226723648, xx -> 0.01869451016493797}}
{-5.917510324723403*^6, {theta -> 1.5350277771893377, t1 -> 0.2536663255417053, yy -> 0.010074366188269318, xx -> 0.012949812947129827}}
{-5.918593572384515*^6, {theta -> 1.533683314801384, t1 -> 0.25372136971411124, yy -> 0.010116863746005225, xx -> 0.010005704540917594}}
{-5.914486989929468*^6, {theta -> 1.4995207970706304, t1 -> 0.26490077079083285, yy -> 0.025663713891894625, xx -> 0.015401007294378821}}
{-5.920366037071942*^6, {theta -> 1.5508211558853318, t1 -> 0.2429954216862899, yy -> 0.013435017901835999, xx -> 0.01}}
{-5.9189064371063*^6, {theta -> 1.5346948970463756, t1 -> 0.2530779547142787, yy -> 0.013527318645829421, xx -> 0.010967578572051426}}
{-5.918981349575061*^6, {theta -> 1.5196691967871638, t1 -> 0.26232528941626565, yy -> 0.01, xx -> 0.010011055926536807}}
{-5.917348975316783*^6, {theta -> 1.5380969679505898, t1 -> 0.2512346874877157, yy -> 0.01, xx -> 0.01}}
{-5.921417565083145*^6, {theta -> 1.539461115598784, t1 -> 0.25385637438293157, yy -> 0.010087457332899279, xx -> 0.01}}
{-5.916080516941124*^6, {theta -> 1.5217995730330742, t1 -> 0.25766609228811804, yy -> 0.011484652136564917, xx -> 0.013735935091879592}}
{-5.920246986685663*^6, {theta -> 1.5361860894513168, t1 -> 0.25413523273060257, yy -> 0.01, xx -> 0.010021658961995146}}
{-5.918918461721203*^6, {theta -> 1.5247413449691625, t1 -> 0.2599321006936728, yy -> 0.01, xx -> 0.010420519621773}}
{-5.918978240811633*^6, {theta -> 1.5343333283228255, t1 -> 0.25448387750711915, yy -> 0.011005536285576906, xx -> 0.010004817693434963}}
{-5.916630499757806*^6, {theta -> 1.5155452933906104, t1 -> 0.2631997523510966, yy -> 0.01718379615579768, xx -> 0.01233846907336851}}
{-5.914826649254713*^6, {theta -> 1.515773185211089, t1 -> 0.2606998023412295, yy -> 0.010000010610899019, xx -> 0.01}}
{-5.9229547177660605*^6, {theta -> 1.5304124870013034, t1 -> 0.24776555195759464, yy -> 0.0907959222961986, xx -> 0.06940105751708345}}
{-5.9201733370114425*^6, {theta -> 1.538111359945504, t1 -> 0.253830314689512, yy -> 0.010003763773033192, xx -> 0.01}}
{-5.924248482420171*^6, {theta -> 1.568075474205215, t1 -> 0.23936406787502978, yy -> 0.01, xx -> 0.010243705985830506}}
{-5.919356882492032*^6, {theta -> 1.5280028835922952, t1 -> 0.25758789843142915, yy -> 0.01003295215036726, xx -> 0.01}}
{-5.921509999440118*^6, {theta -> 1.5312188237125488, t1 -> 0.25620014913057715, yy -> 0.01, xx -> 0.01}}
{-5.920352104074565*^6, {theta -> 1.530075874406485, t1 -> 0.25683351273515503, yy -> 0.010720335158483764, xx -> 0.010284596619213623}}
{-5.920065539320049*^6, {theta -> 1.5427636565443112, t1 -> 0.2504875811065943, yy -> 0.010825097985930808, xx -> 0.012557090149661946}}
{-5.918368806637556*^6, {theta -> 1.5033486679670136, t1 -> 0.26959042164624636, yy -> 0.01, xx -> 0.01}}
